Driver Name,Category,Manufacturer,Is Abstract/Virtual,Description,Documentation Link
Keysight_DSOX1102G.py,Oscilloscope,Keysight,No,Driver for Keysight DSOX1102G Digital Storage Oscilloscope.,
RS_RT2000.py,Oscilloscope,Rohde & Schwarz,No,Driver for Rohde & Schwarz RT2000 Real-time Oscilloscope.,
AbstractMicrowaveSource.py,Oscilloscope,Home-built,Yes,"Abstract base class for microwave source implementations, providing a common interface for all signal generators.",
Agilent_DSO.py,Oscilloscope,Agilent,No,Driver for Agilent Digital Storage Oscilloscope.,
ZHInst_UHFQA.py,Lock-in Amplifier,Zurich Instruments,No,"Driver for Zurich Instruments UHFQA Quantum Analyzer, specialized for qubit readout applications.",
SR_830.py,Lock-in Amplifier,Stanford Research Systems,No,Driver for Stanford Research Systems SR830 Lock-in Amplifier.,
SR_830.py,Lock-in Amplifier,Stanford Research Systems,No,"Driver for Stanford Research Systems SR830 Lock-in Amplifier, supporting phase-sensitive detection.",
Agilent_E8257D.py,Signal Generator,Keysight,No,"Driver for the Agilent/Keysight E8257D PSG Signal Generator, supporting high-frequency signal generation.",
Qblox_QCM.py,Signal Generator,Qblox,No,"Driver for Qblox Qubit Control Module (QCM), designed for precise qubit manipulation and control.",
Keithley_2450.py,Source Measure Unit,Keithley,No,"Main driver for Keithley 2450 Source Measure Unit (SMU), providing precision voltage/current sourcing and measurement.",
Oxford_Triton.py,Cryogenic Controller,Oxford Instruments,No,"Controller for Oxford Instruments Triton dilution refrigerator, managing temperature control and monitoring.",
RS_FSUP.py,Spectrum Analyzer,Rohde & Schwarz,No,Driver for Rohde & Schwarz FSUP Spectrum Analyzer.,
Anritsu_MS2830A.py,Spectrum Analyzer,Anritsu,No,Driver for Anritsu MS2830A Field Master Pro (Spectrum Analyzer and VNA).,
virtual_measure_spec.py,Spectrum Analyzer,Virtual,Yes,Virtual driver for spectrum measurement.,
Spectrum_M3i2132.py,Spectrum Analyzer,Spectrum GmbH,No,Driver for Spectrum GmbH M3i.2132 Digitizer/AWG card (often used for spectrum analysis).,
Spectrum_M4i2211.py,Spectrum Analyzer,Spectrum GmbH,No,Driver for Spectrum GmbH M4i.2211 Digitizer/AWG card (often used for spectrum analysis).,
Spectrum_M2i2030.py,Spectrum Analyzer,Spectrum GmbH,No,Driver for Spectrum GmbH M2i.2030 Digitizer/AWG card (often used for spectrum analysis).,
